Player,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,KDA,Avg. KAL,GPM,XPM,Last Hits,Denies,LVL,HD,TD,HH,GS
qd,57,29,28,"50,88%",30,27,"7,88","4,46","9,93","5,52",4,564,554,268,15,21,19424,3821,391,18405
InJuly,187,95,92,"50,80%",83,104,"3,1","4,54","13,59","4,29","3,68",378,431,151,3,19,11621,852,1020,12463
Jixing,67,34,33,"50,75%",34,33,"3,91","4,1","11,94","4,53","3,86",391,451,165,7,20,13166,583,409,14196
rOtk,123,62,61,"50,41%",68,55,3,"5,69","13,01","3,23","2,81",414,469,184,8,20,11577,855,1355,13791
SoNNeikO,209,105,104,"50,24%",83,126,"2,69","6,47","12,82","2,78","2,4",291,355,66,3,17,9690,381,1414,10387
j4,122,61,61,"50,00%",50,72,"2,66","5,65","13,54","3,02","2,87",264,341,59,3,17,9199,613,521,9172
KaiSeR,122,61,61,"50,00%",50,72,"8,18","4,04","10,24","5,48","4,56",539,573,305,14,22,21084,3512,417,18847
MiLAN,122,61,61,"50,00%",50,72,"3,14","7,01","13,82","2,5","2,42",270,337,60,4,17,10828,149,231,8855
CTY,100,50,50,"50,00%",44,56,"8,57","4,27","8,33","4,9","3,96",619,623,306,15,22,22265,3174,393,20387
Ying(2),84,42,42,"50,00%",41,43,"8,73","4,33","10,89","5,38","4,53",539,575,286,14,22,24256,3258,238,20101
BabyKnight,76,38,38,"50,00%",22,54,"8,14","4,54","9,13","4,22","3,81",547,520,258,14,21,23347,2864,330,18177
lt,68,34,34,"50,00%",36,32,"3,6","5,12","12,32","3,37","3,11",290,352,74,5,17,9320,613,1373,10026
topson,48,24,24,"50,00%",20,28,"8,9","5,85","11,54","3,54","3,49",517,590,295,12,22,28025,3590,618,19218
gantz,42,21,21,"50,00%",21,21,"8,21","4,71","8,12","4,94","3,46",589,552,244,16,20,22617,2971,383,19049
33,131,65,66,"49,62%",54,77,"6,93","4,44","11,37","4,57","4,12",464,513,222,8,20,18141,2920,606,16415
FLYSOLO,123,61,62,"49,59%",67,56,"2,28","6,96","13,13","2,68","2,21",266,326,50,2,17,8276,311,1506,9600
DkPhobos,111,55,56,"49,55%",81,30,"4,59","3,9","12,82","5,73","4,46",419,486,187,7,20,15948,1234,1077,14406
SexyBamboe,93,46,47,"49,46%",38,55,"4,63","6,32","12,1","2,93","2,65",392,434,151,11,19,15147,1442,321,13277
raging-_-potato,185,91,94,"49,19%",75,110,"6,77","5,58","10,16","4,07","3,03",528,553,256,10,22,20856,3017,660,19304
Boombacs,122,60,62,"49,18%",69,53,"2,36","6,19","13,92","2,89","2,63",280,350,56,2,17,8794,190,282,9690
ARMEL!,122,60,62,"49,18%",69,53,"8,34","4,11","8,7","5,28","4,14",595,594,334,12,22,22938,4133,188,22192
Scofield,61,30,31,"49,18%",21,40,"3,2","7,15","14,41","2,77","2,46",287,371,61,4,17,11031,80,763,9218
ddr,59,29,30,"49,15%",34,25,3,"5,34","14,53","3,98","3,28",270,340,50,2,16,8398,180,373,8707
830,108,53,55,"49,07%",53,55,"2,61","6,44","12,75","2,71","2,38",339,403,115,6,18,9927,662,545,10972
Rong,102,50,52,"49,02%",51,51,"3,74","6,84","13,56","2,91","2,53",298,345,71,3,17,10088,599,2470,9968
Sakata,209,102,107,"48,80%",89,120,"7,75","4,88","8,35","3,94","3,3",536,552,269,11,21,20250,2936,388,18405
super,209,102,107,"48,80%",89,120,"2,86","5,3","12,3","3,22","2,86",265,308,50,2,16,7902,605,2791,8833
@dogf1ghts,209,102,107,"48,80%",89,120,"2,69","6,27","13,18","2,83","2,53",275,336,62,2,16,9390,341,643,9059
LPC,82,40,42,"48,78%",43,39,"2,54","5,45","12,98","3,25","2,85",266,323,44,1,16,7423,336,1495,8958
Iceberg,117,57,60,"48,72%",84,33,"9,15","4,82","9,78","4,51","3,93",574,579,300,20,22,25658,3293,382,19217
Fng,117,57,60,"48,72%",84,33,"3,26","6,8","14,95","3,17","2,68",290,350,63,3,17,10384,537,942,9631
Shining,99,48,51,"48,48%",60,39,"6,45","3,59","9,24","5,14","4,38",518,534,238,13,20,16952,3018,469,16008
DeMoN,159,77,82,"48,43%",90,69,"2,69","5,86","11,39","2,95","2,4",275,317,57,2,16,7831,519,1726,9017
CeMaTheSlayeR,213,103,110,"48,36%",116,97,"2,55","6,34","14,11","3,18","2,63",264,332,44,2,17,9331,176,1099,9388
G,213,103,110,"48,36%",116,97,"8,03","4,09","8,57","5,24","4,06",579,585,322,14,22,22693,3318,207,20752
ALOHADANCE,182,88,94,"48,35%",99,83,"6,85","4,2","9,19","4,93","3,82",542,560,306,13,21,19766,4363,783,19013
Feero,110,53,57,"48,18%",52,58,"8,27","4,33","8,11","4,42","3,79",552,571,303,12,22,23273,3447,207,20340
747,135,65,70,"48,15%",51,84,"7,06","4,53","9,16","4,25","3,58",528,549,256,12,21,20456,3480,379,17112
ky xY `|,54,26,28,"48,15%",20,34,"4,15","4,5","11,76","3,64","3,53",418,465,196,9,20,14607,1418,1079,14797
AfterLife,187,90,97,"48,13%",103,84,"4,03","4,77","11,4","3,95","3,23",383,453,154,5,19,13163,902,768,13109
c4t,98,47,51,"47,96%",50,48,"1,59","6,64","10,66","2,27","1,84",252,275,48,2,15,6035,401,1919,8365
Afoninje,98,47,51,"47,96%",47,51,"7,02","4,61","11,38","4,4","3,99",497,553,261,15,21,22549,2926,321,18075
DJ,171,82,89,"47,95%",108,63,"3,27",5,"12,87","3,89","3,23",318,383,88,3,17,10544,468,1423,10571
ArsZeeqq,94,45,49,"47,87%",44,50,"3,01","6,81","13,62","2,7","2,44",259,330,40,5,16,8778,342,1009,8949
QO,163,78,85,"47,85%",87,76,"8,15","5,41","8,99","3,98","3,17",551,562,255,11,21,21958,3099,403,17269
Freeze,161,77,84,"47,83%",85,76,"7,31","4,28","9,8","4,53",4,527,551,274,12,21,20918,2164,509,19043
iLTW,92,44,48,"47,83%",41,51,7,"4,2","10,46","4,89","4,16",535,542,278,12,21,20755,3885,949,19508
EGM,107,51,56,"47,66%",55,52,"2,53","5,91","12,9","3,21","2,61",272,336,59,2,17,8699,451,2439,9363
M-GOD,84,40,44,"47,62%",45,39,"6,63","4,79","9,35","3,96","3,34",503,545,245,8,20,19236,1943,266,16773
nash gold jr,61,29,32,"47,54%",26,35,"6,84","4,38","8,21","4,09","3,44",505,527,238,14,20,18246,2707,968,17190
Biver,162,77,85,"47,53%",74,88,"2,33","5,57","13,06","3,48","2,76",267,312,58,2,16,8539,455,1227,8959
.Midori ?no O,59,28,31,"47,46%",31,28,"7,1","4,29","9,17","4,75","3,79",531,519,283,9,21,21238,4052,233,19767
Sedoy,97,46,51,"47,42%",47,50,"5,98","4,01","10,59","4,76","4,13",505,539,263,10,21,17451,3336,543,16848
Wh1te,76,36,40,"47,37%",43,33,"3,07","4,09","13,13","4,66","3,96",280,330,42,2,16,7525,157,1146,9056
light,57,27,30,"47,37%",35,22,"2,51","5,32","11,63","3,24","2,66",282,329,44,2,15,6951,383,1323,8215
A xiang ,57,27,30,"47,37%",35,22,"3,02","5,67","12,09","3,07","2,67",295,317,45,2,15,8719,220,720,9159
Ryze,74,35,39,"47,30%",26,48,"2,38","5,8","12,55","2,85","2,58",274,304,53,1,16,7766,553,1752,8909
Julz,127,60,67,"47,24%",57,70,"4,28","5,55","12,08","3,18","2,95",401,443,159,7,19,12642,1772,521,13945
Gorgc,36,17,19,"47,22%",16,20,"7,56","4,28","10,14","5,28","4,14",509,484,231,9,20,19578,3605,636,16753
Ohaiyo,151,71,80,"47,02%",102,49,"4,06","5,48","12,15","3,49","2,96",405,467,177,7,19,15414,1426,974,13632
Loda,115,54,61,"46,96%",61,54,"6,71","3,77","10,14","5,17","4,47",560,517,325,15,22,21136,5011,654,21602
Gabbi,164,77,87,"46,95%",82,82,"7,77","4,12","8,44","4,52","3,93",563,564,291,14,21,21283,3633,331,21453
Rr?,150,70,80,"46,67%",52,98,"2,85","5,49","12,03","3,4","2,71",316,377,95,3,18,9783,531,998,11446
Febby,159,74,85,"46,54%",89,70,"3,2","6,35","13,3","2,96","2,6",280,360,50,4,16,8870,455,1446,8819
633,101,47,54,"46,53%",81,20,"7,28","4,27","9,84","5,28","4,01",500,514,249,17,21,20660,3302,298,17688
Meracle L,112,52,60,"46,43%",58,54,"6,54","4,35","10,06","4,54","3,82",486,499,218,12,20,16585,2706,564,15937
Pablo,69,32,37,"46,38%",34,35,"3,75","6,13","14,33","3,64","2,95",297,354,64,2,18,9575,252,1097,10443
yAj,82,38,44,"46,34%",39,43,"6,18","5,48","10,63","3,55","3,07",417,492,175,8,20,17583,1127,457,15532
N?x,41,19,22,"46,34%",16,25,"8,44","4,32","9,56","4,45","4,17",527,569,316,18,21,24909,3266,323,21276
old chicken,108,50,58,"46,30%",47,61,"6,57","5,1","10,33","4,29","3,31",453,496,185,13,20,18439,2635,261,14164
Tiao dao tiao dao zhu,89,41,48,"46,07%",28,61,"7,69","3,81","8,76","4,47","4,32",544,557,286,13,22,21070,2709,635,20048
iceice,89,41,48,"46,07%",28,61,"2,57","7,37","12,75","2,45","2,08",283,354,74,2,17,10158,681,1273,9822
@WuDotA,50,23,27,"46,00%",22,28,"1,94","5,38","12,48","2,9","2,68",244,297,33,2,15,7339,395,2224,7623
